-- Automatically generated by TpcdsQueries
-RECORD 0--------------------------------
 i_category        | Music               
 sum_sales         | 3013.99             
 psum              | 6183.83             
 nsum              | 5091.17             
-RECORD 8--------------------------------
 i_category        | Children            
 i_brand           | amalgexporti #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6364.467500         
 sum_sales         | 2270.79             
 psum              | 3330.83             
 nsum              | 3817.50             
-RECORD 9--------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7386.333333         
 sum_sales         | 3329.74             
 psum              | 3488.01             
 nsum              | 4860.20             
-RECORD 10-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7386.333333         
 sum_sales         | 3347.65             
 psum              | 4007.40             
 nsum              | 3488.01             
-RECORD 11-------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 6639.040000         
 sum_sales         | 2653.55             
 psum              | 4219.52             
 nsum              | 10071.22            
-RECORD 12-------------------------------
 i_category        | Music               
 i_brand           | amalgscholar #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6719.304167         
 sum_sales         | 2739.33             
 psum              | 3690.54             
 nsum              | 3872.98             
-RECORD 13-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6610.034167         
 sum_sales         | 2645.24             
 psum              | 3661.14             
 nsum              | 4282.01             
-RECORD 14-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7043.051667         
 sum_sales         | 3115.83             
 psum              | 4457.95             
 nsum              | 5258.95             
-RECORD 15-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7386.333333         
 sum_sales         | 3488.01             
 psum              | 3347.65             
 nsum              | 3329.74             
-RECORD 16-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7255.790000         
 sum_sales         | 3411.07             
 psum              | 4194.64             
 nsum              | 3624.85             
-RECORD 17-------------------------------
 i_category        | Women               
 i_brand           | exportiamalg #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5646.671667         
 sum_sales         | 1809.52             
 psum              | 4198.70             
 nsum              | 2172.85             
-RECORD 18-------------------------------
 i_category        | Music               
 i_brand           | importoscholar #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6279.081667         
 sum_sales         | 2456.98             
 psum              | 4361.44             
 nsum              | 4256.24             
-RECORD 19-------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 6786.750000         
 sum_sales         | 2978.82             
 psum              | 3942.59             
 nsum              | 7809.22             
-RECORD 20-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7041.705833         
 sum_sales         | 3245.77             
 psum              | 3608.31             
 nsum              | 4127.40             
-RECORD 21-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6864.320833         
 sum_sales         | 3104.48             
 psum              | 3135.52             
 nsum              | 3606.28             
-RECORD 22-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 6864.320833         
 sum_sales         | 3135.52             
 psum              | 14580.30            
 nsum              | 3104.48             
-RECORD 23-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6511.800833         
 sum_sales         | 2785.92             
 psum              | 3956.90             
 nsum              | 3906.63             
-RECORD 24-------------------------------
 i_category        | Women               
 i_brand           | amalgamalg #1       
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6480.683333         
 sum_sales         | 2769.69             
 psum              | 3353.67             
 nsum              | 3876.51             
-RECORD 25-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 7146.240000         
 sum_sales         | 3440.57             
 psum              | 3561.11             
 nsum              | 3971.13             
-RECORD 26-------------------------------
 i_category        | Women               
 i_brand           | importoamalg #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6512.794167         
 sum_sales         | 2808.28             
 psum              | 3789.51             
 nsum              | 4335.27             
-RECORD 27-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6720.550000         
 sum_sales         | 3018.90             
 psum              | 4328.03             
 nsum              | 3810.74             
-RECORD 28-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 7255.790000         
 sum_sales         | 3557.87             
 psum              | 4937.98             
 nsum              | 9496.49             
-RECORD 29-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6791.260833         
 sum_sales         | 3096.02             
 psum              | 3918.04             
 nsum              | 3801.90             
-RECORD 30-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7343.719167         
 sum_sales         | 3652.72             
 psum              | 13689.13            
 nsum              | 3984.13             
-RECORD 31-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6707.315833         
 sum_sales         | 3030.18             
 psum              | 4977.33             
 nsum              | 4620.75             
-RECORD 32-------------------------------
 i_category        | Children            
 i_brand           | exportiexporti #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6386.880833         
 sum_sales         | 2717.07             
 psum              | 4809.11             
 nsum              | 3355.48             
-RECORD 33-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7098.680833         
 sum_sales         | 3440.27             
 psum              | 5293.69             
 nsum              | 3526.45             
-RECORD 34-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6610.034167         
 sum_sales         | 2954.71             
 psum              | 4282.01             
 nsum              | 3166.43             
-RECORD 35-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7255.790000         
 sum_sales         | 3624.85             
 psum              | 3411.07             
 nsum              | 5169.09             
-RECORD 36-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 7343.719167         
 sum_sales         | 3727.75             
 psum              | 3729.62             
 nsum              | 4580.93             
-RECORD 37-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7343.719167         
 sum_sales         | 3729.62             
 psum              | 4033.37             
 nsum              | 3727.75             
-RECORD 38-------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6489.175000         
 sum_sales         | 2875.98             
 psum              | 4299.82             
 nsum              | 4028.97             
-RECORD 39-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7202.242500         
 sum_sales         | 3614.07             
 psum              | 15582.63            
 nsum              | 4234.79             
-RECORD 40-------------------------------
 i_category        | Music               
 i_brand           | importoscholar #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5816.271667         
 sum_sales         | 2229.79             
 psum              | 2919.29             
 nsum              | 4298.41             
-RECORD 41-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7146.240000         
 sum_sales         | 3561.11             
 psum              | 5091.17             
 nsum              | 3440.57             
-RECORD 42-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 7073.462500         
 sum_sales         | 3493.41             
 psum              | 4534.31             
 nsum              | 8701.59             
-RECORD 43-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6791.260833         
 sum_sales         | 3218.13             
 psum              | 3847.87             
 nsum              | 3918.04             
-RECORD 44-------------------------------
 i_category        | Shoes               
 i_brand           | edu packedu pack #1 
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6203.331667         
 sum_sales         | 2631.02             
 psum              | 4424.18             
 nsum              | 4186.85             
-RECORD 45-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7098.680833         
 sum_sales         | 3526.45             
 psum              | 3440.27             
 nsum              | 2965.42             
-RECORD 46-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7202.242500         
 sum_sales         | 3639.93             
 psum              | 4234.79             
 nsum              | 4016.25             
-RECORD 47-------------------------------
 i_category        | Children            
 i_brand           | amalgexporti #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6364.467500         
 sum_sales         | 2825.09             
 psum              | 4111.08             
 nsum              | 3330.83             
-RECORD 48-------------------------------
 i_category        | Shoes               
 i_brand           | edu packedu pack #1 
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6464.239167         
 sum_sales         | 2928.99             
 psum              | 4233.86             
 nsum              | 3840.97             
-RECORD 49-------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6493.071667         
 sum_sales         | 2962.20             
 psum              | 3443.20             
 nsum              | 4212.60             
-RECORD 50-------------------------------
 i_category        | Music               
 i_brand           | importoscholar #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5707.844167         
 sum_sales         | 2179.41             
 psum              | 3789.16             
 nsum              | 4317.53             
-RECORD 51-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7416.141667         
 sum_sales         | 3892.54             
 psum              | 14170.68            
 nsum              | 4654.22             
-RECORD 52-------------------------------
 i_category        | Women               
 i_brand           | importoamalg #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6512.794167         
 sum_sales         | 2991.07             
 psum              | 4335.27             
 nsum              | 4624.86             
-RECORD 53-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7043.051667         
 sum_sales         | 3521.99             
 psum              | 5258.95             
 nsum              | 4135.21             
-RECORD 54-------------------------------
 i_category        | Women               
 i_brand           | edu packamalg #1    
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6354.045833         
 sum_sales         | 2836.23             
 psum              | 3719.67             
 nsum              | 3527.07             
-RECORD 55-------------------------------
 i_category        | Music               
 i_brand           | amalgscholar #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6123.475000         
 sum_sales         | 2617.39             
 psum              | 3080.43             
 nsum              | 4919.93             
-RECORD 56-------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 6674.896667         
 sum_sales         | 3178.12             
 psum              | 3342.98             
 nsum              | 8050.81             
-RECORD 57-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6618.534167         
 sum_sales         | 3127.28             
 psum              | 4291.66             
 nsum              | 4669.62             
-RECORD 58-------------------------------
 i_category        | Women               
 i_brand           | amalgamalg #1       
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6874.250000         
 sum_sales         | 3387.53             
 psum              | 4798.69             
 nsum              | 4329.48             
-RECORD 59-------------------------------
 i_category        | Women               
 i_brand           | exportiamalg #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5646.671667         
 sum_sales         | 2172.85             
 psum              | 1809.52             
 nsum              | 4461.31             
-RECORD 60-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6112.954167         
 sum_sales         | 2641.54             
 psum              | 3567.58             
 nsum              | 3196.45             
-RECORD 61-------------------------------
 i_category        | Children            
 i_brand           | amalgexporti #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6294.100833         
 sum_sales         | 2834.48             
 psum              | 3317.60             
 nsum              | 3803.79             
-RECORD 62-------------------------------
 i_category        | Women               
 i_brand           | edu packamalg #1    
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6027.880000         
 sum_sales         | 2575.81             
 psum              | 2750.96             
 nsum              | 4459.01             
-RECORD 63-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 7041.705833         
 sum_sales         | 3589.97             
 psum              | 4134.03             
 nsum              | 4892.26             
-RECORD 64-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7041.705833         
 sum_sales         | 3593.86             
 psum              | 4127.40             
 nsum              | 4134.03             
-RECORD 65-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6610.034167         
 sum_sales         | 3166.43             
 psum              | 2954.71             
 nsum              | 3673.39             
-RECORD 66-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7041.705833         
 sum_sales         | 3608.31             
 psum              | 15046.54            
 nsum              | 3245.77             
-RECORD 67-------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6602.385000         
 sum_sales         | 3173.44             
 psum              | 3434.91             
 nsum              | 3929.40             
-RECORD 68-------------------------------
 i_category        | Music               
 i_brand           | amalgscholar #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6123.475000         
 sum_sales         | 2699.75             
 psum              | 4038.47             
 nsum              | 3330.87             
-RECORD 69-------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6786.750000         
 sum_sales         | 3366.25             
 psum              | 3847.60             
 nsum              | 4259.57             
-RECORD 70-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7230.493333         
 sum_sales         | 3811.64             
 psum              | 14668.93            
 nsum              | 4497.31             
-RECORD 71-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 6864.320833         
 sum_sales         | 3449.62             
 psum              | 3869.15             
 nsum              | 3531.93             
-RECORD 72-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6739.498333         
 sum_sales         | 3328.01             
 psum              | 4986.50             
 nsum              | 3623.32             
-RECORD 73-------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 6786.750000         
 sum_sales         | 3376.55             
 psum              | 12504.93            
 nsum              | 5018.22             
-RECORD 74-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 6112.954167         
 sum_sales         | 2711.04             
 psum              | 3254.04             
 nsum              | 9465.10             
-RECORD 75-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6588.741667         
 sum_sales         | 3187.25             
 psum              | 4283.21             
 nsum              | 3212.76             
-RECORD 76-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6702.415000         
 sum_sales         | 3310.55             
 psum              | 3981.06             
 nsum              | 4901.56             
-RECORD 77-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7386.333333         
 sum_sales         | 4007.40             
 psum              | 14005.45            
 nsum              | 3347.65             
-RECORD 78-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6588.741667         
 sum_sales         | 3212.76             
 psum              | 3187.25             
 nsum              | 3974.78             
-RECORD 79-------------------------------
 i_category        | Shoes               
 i_brand           | edu packedu pack #1 
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6203.331667         
 sum_sales         | 2835.78             
 psum              | 4186.85             
 nsum              | 3192.53             
-RECORD 80-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7343.719167         
 sum_sales         | 3984.13             
 psum              | 3652.72             
 nsum              | 4033.37             
-RECORD 81-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6720.550000         
 sum_sales         | 3364.32             
 psum              | 3810.74             
 nsum              | 4333.58             
-RECORD 82-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6739.498333         
 sum_sales         | 3389.03             
 psum              | 3623.32             
 nsum              | 3605.25             
-RECORD 83-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6864.320833         
 sum_sales         | 3531.93             
 psum              | 3449.62             
 nsum              | 4414.17             
-RECORD 84-------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6674.896667         
 sum_sales         | 3342.98             
 psum              | 4458.26             
 nsum              | 3178.12             
-RECORD 85-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6511.800833         
 sum_sales         | 3185.28             
 psum              | 3581.75             
 nsum              | 3410.75             
-RECORD 86-------------------------------
 i_category        | Children            
 i_brand           | amalgexporti #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6854.405833         
 sum_sales         | 3541.62             
 psum              | 3854.33             
 nsum              | 3938.42             
-RECORD 87-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7343.719167         
 sum_sales         | 4033.37             
 psum              | 3984.13             
 nsum              | 3729.62             
-RECORD 88-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6618.534167         
 sum_sales         | 3313.62             
 psum              | 4044.36             
 nsum              | 4291.66             
-RECORD 89-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 7416.141667         
 sum_sales         | 4121.24             
 psum              | 4239.08             
 nsum              | 8658.42             
-RECORD 90-------------------------------
 i_category        | Women               
 i_brand           | importoamalg #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6395.326667         
 sum_sales         | 3102.55             
 psum              | 4234.22             
 nsum              | 3650.03             
-RECORD 91-------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6577.143333         
 sum_sales         | 3291.07             
 psum              | 3773.61             
 nsum              | 2152.15             
-RECORD 92-------------------------------
 i_category        | Women               
 i_brand           | edu packamalg #1    
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6027.880000         
 sum_sales         | 2750.96             
 psum              | 3199.35             
 nsum              | 2575.81             
-RECORD 93-------------------------------
 i_category        | Music               
 i_brand           | amalgscholar #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6662.669167         
 sum_sales         | 3386.25             
 psum              | 1961.57             
 nsum              | 4799.18             
-RECORD 94-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 7098.680833         
 sum_sales         | 3834.90             
 psum              | 4923.53             
 nsum              | 4115.57             
-RECORD 95-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 6864.320833         
 sum_sales         | 3606.28             
 psum              | 3104.48             
 nsum              | 3869.15             
-RECORD 96-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 7043.051667         
 sum_sales         | 3793.48             
 psum              | 4135.21             
 nsum              | 5006.69             
-RECORD 97-------------------------------
 i_category        | Shoes               
 i_brand           | edu packedu pack #1 
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 6711.753333         
 sum_sales         | 3473.10             
 psum              | 15060.83            
 nsum              | 4085.86             
-RECORD 98-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 1                   
 avg_monthly_sales | 7419.459167         
 sum_sales         | 4188.88             
 psum              | 16358.86            
 nsum              | 4366.77             
-RECORD 99-------------------------------
 i_category        | Women               
 i_brand           | amalgamalg #1       
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6362.709167         
 sum_sales         | 3137.03             
 psum              | 4180.91             
 nsum              | 3181.26
             
